label,session,f0,f1,f2,f3,f4,f5,f6,f7,f8,f9,f10,f11,f12,f13,f14,f15,f16,f17,f18,f19,f20,f21,f22,f23,f24,f25,f26,f27,f28,f29,f30,f31,f32,f33,f34,f35,f36,f37,f38,f39,f40,f41,f42,f43,f44,f45,f46,f47,f48,f49,f50,f51,f52,f53,f54,f55,f56,f57,f58,f59,f60,f61,f62,f63,f64,f65,f66,f67,f68,f69,f70,f71,f72,f73,f74,f75,f76,f77,f78,f79,f80,f81,f82,f83,f84,f85,f86,f87,f88,f89,f90,f91,f92,f93,f94,f95,f96,f97,f98,f99,f100,f101,f102,f103,f104,f105,f106,f107,f108,f109,f110,f111,f112,f113,f114,f115,f116
scuba,0,0.000003,0.043020,0.041388,0.072843,0.058641,0.067117,0.000009,0.000001,0.000002,0.702339,0.397021,0.489594,0.530342,0.004239,0.535639,0.529653,0.003414,0.006777,0.013233,0.362214,0.510655,0.000344,0.000491,0.000086,0.000387,0.002341,0.000115,0.000389,0.033654,0.012178,0.000256,0.000495,0.001406,0.000183,0.000410,0.000966,0.178473,0.108713,0.030642,0.009222,0.024784,0.001112,0.034803,0.019382,0.003265,0.004328,0.000365,0.027544,0.000293,0.000195,0.000004,0.000001,1.000000,0.000000,0.000000,0.000000,0.000000,0.069574,-0.481082,0.109949,0.298002,-0.827392,0.067380,0.572077,-0.989180,-0.003928,0.825467,-1.026952,-0.068903,0.360065,-1.031944,-0.146736,0.893247,-1.251164,-0.242229,1.100529,-1.199325,-0.239949,1.135679,-1.099218,-0.204026,0.455884,-0.852724,-0.254985,1.016463,-1.109861,-0.309923,1.220760,-1.059513,-0.254281,1.254957,-0.956971,-0.194792,0.562472,-0.613657,-0.343455,1.096954,-0.865588,-0.369625,1.303710,-0.855775,-0.275527,1.338264,-0.788231,-0.196386,0.659294,-0.343046,-0.420908,1.092964,-0.539919,-0.414745,1.284188,-0.608739,-0.327514,1.361229,-0.639485,-0.243175
scuba,0,0.000002,0.039724,0.035252,0.075279,0.048613,0.069063,0.000009,0.000001,0.000002,0.649219,0.339669,0.572884,0.613547,0.005662,0.523620,0.529280,0.002862,0.005244,0.009322,0.386830,0.583806,0.000399,0.000671,0.000093,0.000570,0.002349,0.000072,0.000432,0.017603,0.009210,0.000710,0.001074,0.001316,0.000260,0.000400,0.000901,0.174881,0.111104,0.017300,0.004447,0.020140,0.000881,0.032963,0.023465,0.006824,0.009017,0.001239,0.036012,0.000474,0.000388,0.000004,0.000001,1.000000,0.000000,0.000000,0.000000,0.000000,0.070518,-0.490613,0.120889,0.297934,-0.834518,0.079072,0.570954,-0.982536,0.006317,0.816910,-1.015851,-0.063018,0.367124,-1.037770,-0.144026,0.916622,-1.255689,-0.245781,1.148914,-1.215542,-0.251400,1.210805,-1.117912,-0.219332,0.455974,-0.852134,-0.256792,1.037884,-1.127925,-0.325686,1.258897,-1.086498,-0.272305,1.302530,-0.978764,-0.206922,0.555826,-0.610454,-0.348941,1.107953,-0.869200,-0.381884,1.333129,-0.869118,-0.288852,1.380286,-0.807839,-0.204834,0.648340,-0.335245,-0.428938,1.093953,-0.528120,-0.420254,1.290724,-0.600695,-0.330259,1.370552,-0.636413,-0.241739
scuba,0,0.000005,0.026364,0.012805,0.131954,0.071070,0.123076,0.000011,0.000001,0.000002,0.544618,0.228252,0.416830,0.447645,0.002865,0.672043,0.667139,0.001657,0.010384,0.017367,0.332999,0.636249,0.000594,0.001212,0.000104,0.000380,0.003806,0.000179,0.000969,0.023719,0.005425,0.000690,0.001199,0.002166,0.000371,0.000341,0.000797,0.280375,0.111935,0.017743,0.003604,0.027980,0.001249,0.037113,0.033213,0.013304,0.012725,0.002176,0.065285,0.000504,0.000344,0.000003,0.000001,1.000000,0.000000,0.000000,0.000000,0.000000,0.075029,-0.487309,0.109580,0.304762,-0.834016,0.058852,0.587191,-0.995931,-0.021704,0.834787,-1.049219,-0.098313,0.369535,-1.033960,-0.167992,0.918114,-1.232920,-0.280318,1.149940,-1.185770,-0.286257,1.205916,-1.083683,-0.250458,0.453028,-0.845991,-0.281162,1.049084,-1.104792,-0.354123,1.268807,-1.059041,-0.292982,1.300029,-0.948570,-0.218706,0.551076,-0.599022,-0.374680,1.120263,-0.854034,-0.414763,1.337664,-0.845048,-0.306340,1.367025,-0.772652,-0.206775,0.644780,-0.322372,-0.457465,1.098692,-0.524801,-0.464172,1.295421,-0.596745,-0.370736,1.372206,-0.629361,-0.272519
scuba,0,0.000006,0.036331,0.015411,0.093225,0.070523,0.123517,0.000012,0.000002,0.000003,0.380918,0.095374,0.366623,0.386313,0.001904,0.751862,0.749464,0.000991,0.013218,0.019338,0.328389,0.640029,0.001202,0.003765,0.000118,0.000562,0.005035,0.000128,0.001387,0.018154,0.004835,0.000608,0.001058,0.002463,0.000909,0.000344,0.000694,0.205711,0.118224,0.018794,0.001339,0.030826,0.001445,0.027915,0.032706,0.018367,0.019543,0.003254,0.105054,0.000409,0.000328,0.000003,0.000002,1.000000,0.000000,0.000000,0.000000,0.000000,0.083379,-0.484569,0.104260,0.330839,-0.836210,0.050705,0.626695,-1.009950,-0.032869,0.881743,-1.086599,-0.112734,0.383142,-1.030866,-0.170354,0.947958,-1.233712,-0.287065,1.181096,-1.175217,-0.299360,1.227806,-1.065422,-0.268799,0.461220,-0.840660,-0.283817,1.070967,-1.088867,-0.356624,1.281977,-1.019555,-0.305206,1.300830,-0.904622,-0.244198,0.558228,-0.589551,-0.378157,1.136210,-0.847426,-0.416978,1.347275,-0.816099,-0.318379,1.365674,-0.732187,-0.232683,0.646817,-0.313300,-0.461933,1.107962,-0.523029,-0.467931,1.312826,-0.579288,-0.379552,1.390614,-0.596173,-0.291446
scuba,0,0.000007,0.036629,0.010200,0.114117,0.077068,0.166977,0.000012,0.000002,0.000003,0.319688,0.067713,0.339236,0.358129,0.001478,0.777235,0.774599,0.000874,0.013983,0.021418,0.272887,0.618777,0.001562,0.006082,0.000111,0.000454,0.003722,0.000139,0.000869,0.036118,0.009570,0.000705,0.001327,0.001833,0.000594,0.000297,0.000616,0.298434,0.168652,0.012527,0.002574,0.039879,0.001259,0.051555,0.044285,0.020311,0.020830,0.001862,0.064847,0.000456,0.000293,0.000003,0.000002,1.000000,0.000000,0.000000,0.000000,0.000000,0.089299,-0.479260,0.119616,0.327016,-0.818589,0.076172,0.601066,-0.962057,-0.001044,0.851582,-0.995381,-0.075612,0.391633,-1.023778,-0.146702,0.943473,-1.218204,-0.255478,1.181045,-1.164826,-0.261677,1.238944,-1.056048,-0.227159,0.465858,-0.844720,-0.263459,1.056763,-1.087097,-0.332880,1.276798,-1.022660,-0.278076,1.308691,-0.905249,-0.211895,0.555610,-0.602094,-0.359821,1.116438,-0.846789,-0.397419,1.325464,-0.812429,-0.293429,1.345910,-0.724894,-0.199597,0.638227,-0.328322,-0.444809,1.093574,-0.526142,-0.446292,1.295781,-0.578833,-0.351545,1.374884,-0.592837,-0.255586
scuba,0,0.000010,0.039212,0.005845,0.117184,0.063988,0.230836,0.000018,0.000003,0.000003,0.289965,0.048118,0.315066,0.332293,0.001281,0.791625,0.787956,0.000806,0.015654,0.024371,0.249121,0.630705,0.001732,0.008757,0.000114,0.000565,0.007104,0.000147,0.001883,0.046212,0.015961,0.000666,0.001246,0.001524,0.000514,0.000382,0.000847,0.356387,0.208722,0.008336,0.003094,0.070688,0.001858,0.054690,0.040870,0.019504,0.018659,0.001507,0.045084,0.000480,0.000288,0.000002,0.000003,1.000000,0.000000,0.000000,0.000000,0.000000,0.095218,-0.479967,0.118204,0.338779,-0.814207,0.079648,0.610482,-0.969197,0.009065,0.856142,-1.031807,-0.058592,0.403851,-1.019063,-0.133600,0.937319,-1.215942,-0.239471,1.176946,-1.169482,-0.248281,1.251554,-1.070740,-0.218067,0.476803,-0.842916,-0.249275,1.059427,-1.076071,-0.320437,1.293822,-1.025867,-0.271247,1.349485,-0.915004,-0.209012,0.559357,-0.603328,-0.345994,1.113196,-0.828013,-0.388431,1.341103,-0.810295,-0.294196,1.390129,-0.734250,-0.206491,0.634960,-0.327654,-0.431323,1.084282,-0.507722,-0.436966,1.286720,-0.564389,-0.348533,1.372238,-0.577827,-0.256892
scuba,0,0.000006,0.055371,0.013543,0.072056,0.065813,0.167897,0.000021,0.000001,0.000003,0.192023,0.065059,0.228476,0.222369,0.000980,0.798276,0.782323,0.000882,0.028571,0.032364,0.255720,0.512068,0.002982,0.006537,0.000202,0.000363,0.005452,0.000149,0.000829,0.018732,0.012728,0.000385,0.000597,0.002266,0.001355,0.000964,0.001665,0.234921,0.261481,0.007887,0.000889,0.029962,0.001566,0.016086,0.024509,0.025026,0.032772,0.002625,0.077243,0.000502,0.000503,0.000003,0.000002,1.000000,0.000000,0.000000,0.000000,0.000000,0.092405,-0.473125,0.115286,0.333075,-0.811155,0.072948,0.600827,-0.965598,-0.001850,0.845513,-1.020683,-0.077207,0.405330,-1.022737,-0.149922,0.942006,-1.210924,-0.269780,1.192683,-1.154686,-0.289767,1.273650,-1.049628,-0.267259,0.459500,-0.846541,-0.268729,1.053001,-1.069837,-0.355170,1.299681,-1.001524,-0.316459,1.359457,-0.880287,-0.260626,0.528145,-0.602216,-0.369108,1.088448,-0.824211,-0.429062,1.331489,-0.791971,-0.349519,1.393771,-0.704479,-0.270350,0.595774,-0.325033,-0.457059,1.041271,-0.496316,-0.487270,1.260629,-0.552305,-0.420256,1.372520,-0.568010,-0.342623
scuba,0,0.000005,0.068337,0.015966,0.065184,0.064062,0.160116,0.000017,0.000002,0.000002,0.214876,0.046930,0.207846,0.189786,0.001141,0.758091,0.734323,0.001257,0.031626,0.042469,0.246065,0.586925,0.002316,0.009024,0.000211,0.000183,0.004660,0.000272,0.000763,0.014149,0.008769,0.000641,0.001124,0.002629,0.001076,0.001147,0.001797,0.141375,0.179052,0.014602,0.000904,0.028681,0.001195,0.013387,0.023174,0.012360,0.017527,0.002271,0.084171,0.000348,0.000333,0.000003,0.000002,1.000000,0.000000,0.000000,0.000000,0.000000,0.110057,-0.478483,0.093134,0.364794,-0.818765,0.036069,0.654190,-0.976171,-0.048405,0.907611,-1.039999,-0.130449,0.419689,-1.018107,-0.185002,0.982176,-1.206447,-0.309336,1.243544,-1.144030,-0.326757,1.327540,-1.023404,-0.302182,0.464331,-0.835006,-0.295210,1.076868,-1.062094,-0.385203,1.327549,-0.985348,-0.342452,1.389267,-0.863959,-0.286274,0.529446,-0.589241,-0.387828,1.097002,-0.809112,-0.442834,1.344263,-0.776649,-0.359541,1.408592,-0.692623,-0.282895,0.596878,-0.313338,-0.470927,1.050671,-0.480145,-0.490948,1.268773,-0.517613,-0.417438,1.370524,-0.513982,-0.339649
scuba,1,0.000005,0.072385,0.015044,0.050286,0.078320,0.180613,0.000020,0.000002,0.000002,0.169134,0.031963,0.229391,0.181999,0.001002,0.753144,0.733974,0.001677,0.028848,0.045400,0.223813,0.482263,0.003197,0.014566,0.000290,0.000060,0.001264,0.000407,0.000127,0.009076,0.008015,0.003555,0.004615,0.001359,0.000842,0.001327,0.001522,0.160129,0.206894,0.008477,0.000729,0.017289,0.000503,0.021197,0.032652,0.070468,0.094533,0.021180,0.188638,0.000331,0.000521,0.000005,0.000002,1.000000,0.000000,0.000000,0.000000,0.000000,0.106187,-0.476309,0.097817,0.364260,-0.815165,0.046768,0.649671,-0.971875,-0.032569,0.905803,-1.031083,-0.111507,0.415670,-1.027426,-0.160715,0.965629,-1.203019,-0.277164,1.229365,-1.155544,-0.298738,1.325788,-1.055613,-0.280980,0.462821,-0.843412,-0.272838,1.065850,-1.076280,-0.364100,1.334119,-1.016126,-0.335622,1.420300,-0.899705,-0.288999,0.528468,-0.598231,-0.367036,1.096491,-0.813183,-0.425694,1.358059,-0.787036,-0.357514,1.441497,-0.709218,-0.289908,0.596851,-0.318384,-0.450652,1.054901,-0.478904,-0.470932,1.280492,-0.515964,-0.403293,1.391352,-0.512874,-0.330204
scuba,2,0.000007,0.070872,0.021205,0.049370,0.099982,0.148809,0.000024,0.000003,0.000003,0.125898,0.036069,0.246625,0.213328,0.000745,0.770100,0.750922,0.002053,0.029604,0.032994,0.285470,0.415765,0.005550,0.010563,0.000281,0.000036,0.000808,0.000464,0.000071,0.005830,0.006621,0.007035,0.008653,0.001124,0.000830,0.000803,0.000722,0.105716,0.140962,0.010272,0.000660,0.021034,0.000742,0.045863,0.059543,0.180444,0.233926,0.077405,0.479605,0.000831,0.001746,0.000004,0.000003,1.000000,0.000000,0.000000,0.000000,0.000000,0.102349,-0.475633,0.098652,0.352059,-0.811930,0.045214,0.635911,-0.959527,-0.038068,0.889243,-1.010985,-0.120278,0.396918,-1.038112,-0.163120,0.955573,-1.210887,-0.279933,1.224467,-1.162234,-0.298868,1.317285,-1.059148,-0.277579,0.444148,-0.852523,-0.275542,1.048590,-1.083563,-0.361014,1.316191,-1.016712,-0.325425,1.394778,-0.896845,-0.273793,0.512782,-0.608493,-0.369948,1.086436,-0.823707,-0.423440,1.342074,-0.785872,-0.345791,1.408965,-0.698264,-0.271350,0.583438,-0.332152,-0.454528,1.042652,-0.486719,-0.475125,1.262642,-0.522531,-0.405398,1.361408,-0.521522,-0.328531
